CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2025-04-06,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2025-05-07,1,Y,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2025-04-06,Health,F,Nutrition and Dietary Deficiencies,801,"Employ sufficient staff with the appropriate competencies and skills sets to carry out the functions of the food and nutrition service, including a qualified dietician.",F,"Deficient, Provider has date of correction",2025-05-07,1,Y,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2025-04-06,Health,F,Administration Deficiencies,850,Hire a qualified full-time social worker in a facility with more than 120 beds.,F,"Deficient, Provider has date of correction",2025-05-07,1,Y,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2025-04-06,Health,F,Nursing and Physician Services Deficiencies,947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",F,"Deficient, Provider has date of correction",2025-05-07,1,Y,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-07-11,Health,F,Resident Rights Deficiencies,568,"Properly hold, secure, and manage each resident's personal money which is deposited with the nursing home.",D,"Deficient, Provider has date of correction",2024-08-20,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-07-11,Health,F,Resident Rights Deficiencies,580,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",J,"Deficient, Provider has date of correction",2024-08-20,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-07-11,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",J,"Deficient, Provider has date of correction",2024-08-20,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-07-11,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2024-08-20,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-07-11,Health,F,Administration Deficiencies,835,Administer the facility in a manner that enables it to use its resources effectively and efficiently.,J,"Deficient, Provider has date of correction",2024-08-20,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-07-11,Health,F,Resident Assessment and Care Planning Deficiencies,842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,D,"Deficient, Provider has date of correction",2024-08-20,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
115376,SOUTHLAND HEALTHCARE AND REHAB CENTER,606 SIMMONS ST,DUBLIN,GA,31040,2024-05-01,Health,F,Quality of Life and Care Deficiencies,677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2024-05-25,2,N,Y,N,N,N,"606 SIMMONS ST,DUBLIN,GA,31040",2026-02-01
