CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Quality of Life and Care Deficiencies,677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Quality of Life and Care Deficiencies,688,"Provide appropriate care for a resident to maintain and/or improve range of motion (ROM), limited ROM and/or mobility, unless a decline is for a medical reason.",E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Nursing and Physician Services Deficiencies,725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,F,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Nursing and Physician Services Deficiencies,726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Nursing and Physician Services Deficiencies,730,Observe each nurse aide's job performance and give regular training.,E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Quality of Life and Care Deficiencies,740,Ensure each resident must receive and the facility must provide necessary behavioral health care and services.,D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Pharmacy Service Deficiencies,756,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Pharmacy Service Deficiencies,760,Ensure that residents are free from significant medication errors.,D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Pharmacy Service Deficiencies,761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Nutrition and Dietary Deficiencies,809,"Ensure meals and snacks are served at times in accordance with resident’s needs, preferences, and requests.  Suitable and nourishing alternative meals and snacks must be provided for residents who want to eat at non-traditional times or outside of scheduled meal times.",E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Nutrition and Dietary Deficiencies,812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",F,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Resident Assessment and Care Planning Deficiencies,842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Infection Control Deficiencies,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Infection Control Deficiencies,887,"Educate residents and staff on COVID-19 vaccination, offer the COVID-19 vaccine to eligible residents and staff after education, and properly document each resident and staff member's vaccination status.",D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Environmental Deficiencies,919,Make sure that a working call system is available in each resident's  bathroom and bathing area.,F,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Environmental Deficiencies,921,"Make sure that the nursing home area is safe, easy to use, clean and comfortable for residents, staff and the public.",D,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2025-06-14,Health,F,Nursing and Physician Services Deficiencies,947,"Ensure nurse aides have the skills they need to care for residents, and give nurse aides education in dementia care and abuse prevention.",E,"Deficient, Provider has date of correction",2025-07-21,1,Y,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-10-25,Health,F,Administration Deficiencies,851,"Electronically submit to CMS complete and accurate direct care staffing information, based on payroll and other verifiable and auditable data.",D,"Deficient, Provider has date of correction",2024-11-15,2,N,Y,Y,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-10-17,Health,F,Resident Rights Deficiencies,550,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",D,"Deficient, Provider has date of correction",2024-11-15,2,N,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-06-28,Health,F,Infection Control Deficiencies,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2024-08-09,2,N,Y,Y,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-05-03,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2024-05-28,2,N,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-05-03,Health,F,Nursing and Physician Services Deficiencies,712,Ensure that the resident and his/her doctor meet face-to-face at all required visits.,D,"Deficient, Provider has date of correction",2024-05-28,2,N,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-04-08,Health,F,Resident Rights Deficiencies,585,Honor the resident's right to voice grievances without discrimination or reprisal and the facility must establish a grievance policy and make prompt efforts to resolve grievances.,E,"Deficient, Provider has date of correction",2024-05-01,2,N,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-04-08,Health,F,Quality of Life and Care Deficiencies,677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2024-05-01,2,N,Y,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
505251,Colfax Health and Rehabilitation of Cascadia,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,2024-07-22,Health,F,Resident Rights Deficiencies,550,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",D,"Deficient, Provider has date of correction",2024-08-28,2,Y,N,N,N,N,"1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111",2026-02-01
