CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Resident Assessment and Care Planning Deficiencies,655,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Resident Assessment and Care Planning Deficiencies,656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Resident Assessment and Care Planning Deficiencies,657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Quality of Life and Care Deficiencies,686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Quality of Life and Care Deficiencies,689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,E,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Quality of Life and Care Deficiencies,698,"Provide safe, appropriate dialysis care/services for a resident who requires such services.",D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Nursing and Physician Services Deficiencies,710,Obtain a doctor's order to admit a resident and ensure the resident is under a doctor's care.,D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Pharmacy Service Deficiencies,761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",D,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235279,Holt Senior Care and Rehab Center,5091 Willoughby Road,Holt,MI,48842,2022-09-23,Health,F,Infection Control Deficiencies,880,Provide and implement an infection prevention and control program.,E,"Deficient, Provider has date of correction",2022-10-28,3,Y,N,N,N,N,"5091 Willoughby Road,Holt,MI,48842",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-02-06,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2025-03-07,1,N,Y,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-02-06,Health,F,Pharmacy Service Deficiencies,755,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,D,"Deficient, Provider has date of correction",2025-03-07,1,N,Y,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-02-06,Health,F,Administration Deficiencies,776,"Provide timely, approved x-ray services, or have an agreement with an approved provider to obtain them.",D,"Deficient, Provider has date of correction",2025-03-07,1,N,Y,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-08-21,Health,F,Resident Rights Deficiencies,628,"Provide the required documentation or notification related to the resident's needs, appeal rights, or bed-hold policies.",E,"Deficient, Provider has date of correction",2025-09-12,1,Y,N,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-08-21,Health,F,Quality of Life and Care Deficiencies,689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2025-09-12,1,Y,N,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-08-21,Health,F,Pharmacy Service Deficiencies,759,Ensure medication error rates are not 5 percent or greater.,D,"Deficient, Provider has date of correction",2025-09-12,1,Y,N,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-08-21,Health,F,Pharmacy Service Deficiencies,761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",E,"Deficient, Provider has date of correction",2025-09-12,1,Y,N,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2025-08-21,Health,F,Infection Control Deficiencies,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2025-09-12,1,Y,N,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
235280,Medilodge of Alpena,301 Long Rapids Road,Alpena,MI,49707,2024-08-01,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",G,"Deficient, Provider has date of correction",2024-08-27,2,Y,N,N,N,N,"301 Long Rapids Road,Alpena,MI,49707",2026-02-01
