CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Nutrition and Dietary Deficiencies,801,"Employ sufficient staff with the appropriate competencies and skills sets to carry out the functions of the food and nutrition service, including a qualified dietician.",E,"Deficient, Provider has date of correction",2024-09-27,2,Y,N,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Nutrition and Dietary Deficiencies,805,Ensure each resident receives and the facility provides food prepared in a form designed to meet individual needs.,E,"Deficient, Provider has date of correction",2024-09-27,2,Y,N,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Nutrition and Dietary Deficiencies,812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",E,"Deficient, Provider has date of correction",2024-09-27,2,Y,N,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Administration Deficiencies,865,Have a  plan that describes the process for conducting QAPI and QAA activities.,F,"Deficient, Provider has date of correction",2024-09-27,2,Y,N,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Infection Control Deficiencies,883,Develop and implement policies and procedures for flu and pneumonia vaccinations.,D,"Deficient, Provider has date of correction",2024-09-27,2,Y,N,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,"Deficient, Provider has date of correction",2024-09-27,2,Y,Y,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2024-09-27,2,Y,Y,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Resident Assessment and Care Planning Deficiencies,658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2024-09-27,2,Y,Y,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Quality of Life and Care Deficiencies,677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2024-09-27,2,Y,Y,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
165376,Aspire of Pleasant Valley,17990 Spencer Road,Pleasant Valley,IA,52767,2024-09-09,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2024-09-27,2,Y,Y,N,N,N,"17990 Spencer Road,Pleasant Valley,IA,52767",2026-02-01
