CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-05-18,Health,F,Resident Rights Deficiencies,584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",E,"Deficient, Provider has date of correction",2023-05-22,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-05-18,Health,F,Quality of Life and Care Deficiencies,689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2023-05-22,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-04-13,Health,F,Resident Rights Deficiencies,552,"Ensure that residents are fully informed and understand their health status, care and treatments.",D,"Deficient, Provider has date of correction",2023-04-28,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-04-13,Health,F,Resident Assessment and Care Planning Deficiencies,636,"Assess the resident completely in a timely manner  when first admitted, and then periodically, at least every 12 months.",D,"Deficient, Provider has date of correction",2023-04-28,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-04-13,Health,F,Quality of Life and Care Deficiencies,689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2023-04-28,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-04-13,Health,F,Nutrition and Dietary Deficiencies,812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",F,"Deficient, Provider has date of correction",2023-04-28,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-02-24,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",G,"Deficient, Provider has date of correction",2023-03-15,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-02-24,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",604,"Ensure that each resident is free from the use of physical restraints, unless needed for medical treatment.",D,"Deficient, Provider has date of correction",2023-03-15,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-02-24,Health,F,Resident Assessment and Care Planning Deficiencies,658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2023-03-15,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-02-24,Health,F,Quality of Life and Care Deficiencies,684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2023-03-15,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-02-24,Health,F,Quality of Life and Care Deficiencies,686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,G,"Deficient, Provider has date of correction",2023-03-15,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,2023-02-24,Health,F,Quality of Life and Care Deficiencies,689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,H,"Deficient, Provider has date of correction",2023-03-15,3,N,Y,N,N,N,"1010 WEST 95TH STREET,CHICAGO,IL,60643",2026-02-01
