CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
215025,COMPLETE CARE AT WHEATON,4011 RANDOLPH ROAD,WHEATON,MD,20902,2019-05-31,Health,F,Quality of Life and Care Deficiencies,690,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",D,"Deficient, Provider has date of correction",2019-08-12,3,Y,N,N,N,N,"4011 RANDOLPH ROAD,WHEATON,MD,20902",2026-02-01
215025,COMPLETE CARE AT WHEATON,4011 RANDOLPH ROAD,WHEATON,MD,20902,2019-05-31,Health,F,Administration Deficiencies,835,Administer the facility in a manner that enables it to use its resources effectively and efficiently.,F,"Deficient, Provider has date of correction",2019-08-12,3,Y,N,N,N,N,"4011 RANDOLPH ROAD,WHEATON,MD,20902",2026-02-01
215025,COMPLETE CARE AT WHEATON,4011 RANDOLPH ROAD,WHEATON,MD,20902,2019-05-31,Health,F,Administration Deficiencies,843,Have an agreement with at least one or more hospitals certified by Medicare or Medicaid to make sure residents can be moved quickly to the hospital when they need medical care.,C,"Deficient, Provider has date of correction",2019-08-12,3,Y,N,N,N,N,"4011 RANDOLPH ROAD,WHEATON,MD,20902",2026-02-01
215025,COMPLETE CARE AT WHEATON,4011 RANDOLPH ROAD,WHEATON,MD,20902,2019-05-31,Health,F,Infection Control Deficiencies,880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2019-08-12,3,Y,N,N,N,N,"4011 RANDOLPH ROAD,WHEATON,MD,20902",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-10-10,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",609,"Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",D,"Deficient, Provider has date of correction",2025-12-19,1,N,Y,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-10-10,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2025-12-19,1,N,Y,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-10-10,Health,F,Pharmacy Service Deficiencies,755,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,D,"Deficient, Provider has date of correction",2025-12-19,1,N,Y,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Resident Rights Deficiencies,550,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Resident Rights Deficiencies,568,"Properly hold, secure, and manage each resident's personal money which is deposited with the nursing home.",D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Resident Rights Deficiencies,578,"Honor the resident's right to request, refuse, and/or discontinue treatment, to participate in or refuse to participate in experimental research, and to formulate an advance directive.",D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Quality of Life and Care Deficiencies,677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Quality of Life and Care Deficiencies,690,"Provide appropriate care for residents who are continent or incontinent of bowel/bladder, appropriate catheter care,  and appropriate care  to prevent urinary tract infections.",D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Quality of Life and Care Deficiencies,697,"Provide safe, appropriate pain management for a resident who requires such services.",D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Quality of Life and Care Deficiencies,699,Provide care or services that was trauma informed and/or culturally competent.,D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Pharmacy Service Deficiencies,755,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
215026,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,2025-03-25,Health,F,Pharmacy Service Deficiencies,756,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",D,"Deficient, Provider has date of correction",2025-04-25,1,Y,N,N,N,N,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",2026-02-01
