CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2023-03-08,Health,F,Resident Assessment and Care Planning Deficiencies,638,Assure that each resident’s assessment is updated at least once every 3 months.,D,"Deficient, Provider has date of correction",2023-04-26,3,N,Y,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2023-03-08,Health,F,Quality of Life and Care Deficiencies,686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2023-04-26,3,N,Y,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2023-03-08,Health,F,Pharmacy Service Deficiencies,760,Ensure that residents are free from significant medication errors.,D,"Deficient, Provider has date of correction",2023-06-14,3,N,Y,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2023-03-08,Health,F,Resident Assessment and Care Planning Deficiencies,842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,E,"Deficient, Provider has date of correction",2023-04-26,3,N,Y,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2023-03-08,Health,F,Infection Control Deficiencies,887,"Educate residents and staff on COVID-19 vaccination, offer the COVID-19 vaccine to eligible residents and staff after education, and properly document each resident and staff member's vaccination status.",D,"Deficient, Provider has date of correction",2023-04-26,3,N,Y,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2022-06-24,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",J,Past Non-Compliance,2022-01-05,3,Y,N,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2022-06-24,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",607,"Develop and implement policies and procedures to prevent abuse, neglect, and theft.",J,Past Non-Compliance,2022-01-05,3,Y,N,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2022-06-24,Health,F,Resident Assessment and Care Planning Deficiencies,656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2022-07-22,3,Y,N,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2022-06-24,Health,F,Quality of Life and Care Deficiencies,687,Provide appropriate foot care.,D,"Deficient, Provider has date of correction",2022-07-22,3,Y,N,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
345353,Highland House Rehabilitation and Healthcare,1700 Pamalee Drive,Fayetteville,NC,28301,2022-06-24,Health,F,Quality of Life and Care Deficiencies,695,Provide safe and appropriate respiratory care for a resident when needed.,D,"Deficient, Provider has date of correction",2022-07-22,3,Y,N,N,N,N,"1700 Pamalee Drive,Fayetteville,NC,28301",2026-02-01
