CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Resident Assessment and Care Planning Deficiencies,658,Ensure services provided by the nursing facility meet professional standards of quality.,E,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Quality of Life and Care Deficiencies,676,Ensure residents do not lose the ability to perform activities of daily living unless there is a medical reason.,E,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Quality of Life and Care Deficiencies,677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Quality of Life and Care Deficiencies,679,Provide activities to meet all resident's needs.,E,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Quality of Life and Care Deficiencies,740,Ensure each resident must receive and the facility must provide necessary behavioral health care and services.,D,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Pharmacy Service Deficiencies,755,Provide pharmaceutical services to meet the needs of each resident and employ or obtain the services of a licensed pharmacist.,F,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Pharmacy Service Deficiencies,759,Ensure medication error rates are not 5 percent or greater.,E,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Pharmacy Service Deficiencies,761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",E,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Nutrition and Dietary Deficiencies,810,Provide special eating equipment and utensils for residents who need them and appropriate assistance.,D,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
555122,MCKINLEY PARK CARE CENTER,3700 H STREET,SACRAMENTO,CA,95816,2022-11-04,Health,F,Nutrition and Dietary Deficiencies,812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",F,"Deficient, Provider has date of correction",2022-12-08,2,Y,N,N,N,N,"3700 H STREET,SACRAMENTO,CA,95816",2026-02-01
